city,state,country
nan,Canal Zone,Panama
Manati,nan,P.R.
Hatillo,nan,P.R.
Nuuuli,nan,American Samoa
Hartland,NB,CAN
Caguas,nan,P.R.
Covehead,PE,CAN
North Powell,VT,USA
Oriente,nan,Cuba
Nichi Kasugai-gun,Aichi,Japan
Tafuna,nan,American Samoa
Toa Baja,nan,P.R.
Cornwallis,NS,CAN
Gore Bay,ON,CAN
Pownal,PE,CAN
Allgeheny County,PA,USA
Walhalia,SC,USA
Boca del Soco,San Pedro de Macoris,D.R.
Yabucoa,nan,P.R.
Isla de la Juventud,nan,Cuba
Central Preston,nan,Cuba
Springfield,ON,CAN
Cazaux,nan,France
Penuelas,nan,P.R.
nan,Kerry,Ireland
Guayama,nan,P.R.
Granard,nan,Ireland
Ponce,nan,P.R.
nan,Kildare,Ireland
Brevengat,nan,Curacao
Naguabo,nan,P.R.
Glendon,AB,CAN
Dundas,ON,CAN
Cayey,nan,P.R.
Bradford,ON,CAN
Sparta,ON,CAN
Upper Chanceford,PA,USA
Sabana Larga,nan,D.R.
New Denver,BC,CAN
Maunabo,nan,P.R.
Orono,ON,CAN
Kita Tsuru-gun,Yamanashi,Japan
Notre-Dame-de-la-Merci,QC,CAN
nan,WV,USA
Santurce,nan,P.R.
Ste. Anne de Bellevue,QC,CAN
Solito,nan,Aruba
Brookline Station,MO,USA
Oil Springs,ON,CAN
Choon Chung Do,Seoul,South Korea
nan,Tyrone,Ireland
Pueblo Nuevo,nan,Cuba
Las Piedras,nan,P.R.
Juana Diaz,nan,P.R.
Adolphustown,ON,CAN
Chingacousy,ON,CAN
Florida,nan,P.R.
nan,St. Thomas,V.I.
Orocovis,nan,P.R.
Kirkerup,nan,Denmark
Humacao,nan,P.R.
Camp Sheridan,AL,USA
Guaynabo,nan,P.R.
Arecibo,nan,P.R.
nan,Yorkshire,United Kingdom
Santa Maria,nan,Curacao
Paso del Toro,Veracruz,Venezuela
Ehime,MN,USA
Hall's Station,GA,USA
Ciales,nan,P.R.
Ro Ellen,TN,USA
nan,KY,USA
nan,NY,USA
Weir City,KS,USA
Navan,ON,CAN
Loiza Aldea,nan,P.R.
Lynhurst,ON,CAN
Higuerito,San Cristobal,D.R.
Maam,nan,Ireland
Fajardo,nan,P.R.
Bayamon,nan,P.R.
Campina,El Seibo,D.R.
St. Jean de Matha,QC,CAN
Petatonica,IL,USA
Barkerville,BC,CAN
Mundo Nobo,nan,Curacao
Camuy,nan,P.R.
Central Hatillo,nan,Cuba
Brady's Bend,PA,USA
nan,Madeira,Portugal
Fort Clayton,Canal Zone,Panama
Burslem,Staffordshire,United Kingdom
Vieques,nan,P.R.
Toddspoint,KY,USA
Spring Valley Twp.,WI,USA
Valhermosa Springs,AL,USA
St. Mathias,QC,CAN
Schoerndorn,nan,Germany
nan,Sanchez Ramirez,D.R.
La Pica,Maracay,Venezuela
Loiza,nan,P.R.
Naha AFB,Okinawa,Japan
nan,NJ,USA
Trujillo Alto,nan,P.R.
Catano,nan,P.R.
Villa Clara,nan,Cuba
Mockville,NC,USA
nan,Pacific Ocean,At Sea
Phiadelphia,PA,USA
San Sebastian,nan,P.R.
Beano,nan,Italy
Alto Songo,nan,Cuba
Cidra,nan,P.R.
Cranes Mills,TX,USA
Agua Blanca,El Seibo,D.R.
Port Carling,ON,CAN
Portland,ON,CAN
Vega Alta,nan,P.R.
Anola,MB,CAN
Aibonito,nan,P.R.
Neu-Norka,Permskiy kray,Russia
Las Villas,nan,Cuba
nan,OH,USA
Minami Muro-gun,Mie,Japan
Toabaja,nan,P.R.
Christiansted,St. Croix,V.I.
Garlin,nan,Poland
Bayfield,NB,CAN
Boca Chica,Bolivar,Colombia
Guayanilla,nan,P.R.
North Gower,ON,CAN
Cidra,nan,Cuba
Petit Maujouy,nan,France
Mohill,nan,Ireland
Ware Station,IL,USA
Canovanas,nan,P.R.
Odesa,nan,Ukriane
Modum,nan,Norway
Vega Baja,nan,P.R.
Tivalkoski,nan,Finland
Frontenac,ON,CAN
Rio Piedras,nan,P.R.
Hato Rey,nan,P.R.
QS,Atlantic Ocean,nan
Yauco,nan,P.R.
San Juan,nan,P.R.
Piedecuesta,Santander,Venezuela
Rouleau,SK,CAN
nan,Canarias,Spain
Mayaguez,nan,P.R.
Cassburn,ON,CAN
nan,Baden-Wurttemburg,Germany
Duguayville,NB,CAN
Aguadilla,nan,P.R.
Blackash,PA,USA
Falcon,Las Villas,Cuba
Batey Lechuga,El Seibo,D.R.
Trabuca Canyon,CA,USA
Velasco,nan,Cuba
Vibank,SK,CAN
Los Abreus,nan,Cuba
Ozanna,nan,Poland
Capperwhite,nan,Ireland
Lajas,nan,P.R.
Zealandia,SK,CAN
Central Regional Highway,Aragua,Venezuela
Ceiba del Agua,nan,Cuba
Central Alava,Matanzas,Cuba
Guy's Mills,PA,USA
Stefurov,nan,Slovakia
Barceloneta,nan,P.R.
Wentworth,ON,CAN
Comerio,nan,P.R.
Iwo Jima,nan,Japan
Cartharpin,VA,USA
Belize,nan,Belize
nan,Caribbean Sea,At Sea
Guanica,nan,P.R.
Govanstown,MD,USA
nan,Atlantic Ocean,At Sea
Charlotte Amalie,St. Thomas,V.I.
New Brookfield,SC,USA
New Lowell,ON,CAN
Central Cunagua,nan,Cuba
Potrerillos,nan,Cuba
Lachine,QC,CAN
Central Senado,nan,Cuba
Fonthill,ON,CAN
Linoleumville,NY,USA
Newbury,ON,CAN
Morganette,WV,USA
nan,IL,USA
East Bontang,nan,Indonesia
Fort Sullivan,TX,USA
